final lin 0.0 0.0,final log 0.0 0.0,final power 0.0 0.0,final lin 0.0 0.524,final log 0.0 0.524,final power 0.0 0.524,final lin 0.0 1.047,final log 0.0 1.047,final power 0.0 1.047,final lin 0.0 1.571,final log 0.0 1.571,final power 0.0 1.571,final lin 0.5 0.0,final log 0.5 0.0,final power 0.5 0.0,final lin 0.5 0.524,final log 0.5 0.524,final power 0.5 0.524,final lin 0.5 1.047,final log 0.5 1.047,final power 0.5 1.047,final lin 0.5 1.571,final log 0.5 1.571,final power 0.5 1.571,final lin 0.9 0.0,final log 0.9 0.0,final power 0.9 0.0,final lin 0.9 0.524,final log 0.9 0.524,final power 0.9 0.524,final lin 0.9 1.047,final log 0.9 1.047,final power 0.9 1.047,final lin 0.9 1.571,final log 0.9 1.571,final power 0.9 1.571
1093101,3643854,801683,1093101,3643854,801683,1095677,3652432,803573,1097131,3657294,804641,1098271,3661090,805477,1099165,3664068,806133,1099835,3666294,806631,1101711,3672550,808005,1102143,3673998,808321,1102685,3675798,808717,1104185,3680836,809827,1104185,3680836,809827
1155512,3681974,793968,1155512,3681974,793968,1158292,3690840,795882,1159804,3695656,796922,1161034,3699574,797768,1161968,3702558,798414,1162656,3704736,798884,1164584,3710890,800206,1165034,3712322,800512,1165588,3714098,800894,1167106,3718954,801938,1167106,3718954,801938
1148753,3661403,861623,1148753,3661403,861623,1151589,3670449,863747,1153057,3675127,864847,1154309,3679119,865785,1155229,3682059,866477,1155887,3684155,866971,1157749,3690105,868371,1158185,3691491,868701,1158729,3693213,869105,1160169,3697803,870183,1160169,3697803,870183
1147739,3655826,860516,1147739,3655826,860516,1150653,3665112,862700,1152083,3669658,863768,1153367,3673750,864734,1154277,3676646,865414,1154911,3678664,865888,1156713,3684394,867244,1157139,3685740,867558,1157661,3687404,867948,1159021,3691748,868966,1159021,3691748,868966
1224384,3673551,864618,1224384,3673551,864618,1227592,3683191,866882,1229068,3687615,867924,1230482,3691859,868920,1231438,3694725,869592,1232088,3696673,870048,1233934,3702227,871358,1234372,3703535,871668,1234908,3705143,872048,1236280,3709259,873016,1236280,3709259,873016
1238644,3718147,947803,1238644,3718147,947803,1242024,3728283,950387,1243460,3732583,951485,1244942,3737039,952623,1245892,3739879,953351,1246532,3741749,953833,1248336,3747123,955203,1248756,3748391,955523,1249276,3749949,955919,1250568,3753845,956909,1250568,3753845,956909
1267892,3807109,969809,1267892,3807109,969809,1271520,3817987,972575,1272916,3822177,973639,1274500,3826941,974853,1275434,3829775,975573,1276038,3831599,976035,1277780,3836807,977367,1278186,3838041,977681,1278688,3839551,978071,1279910,3843239,979009,1279910,3843239,979009
1398722,3967662,1087375,1398722,3967662,1087375,1402952,3979676,1090657,1404394,3983756,1091775,1406242,3989020,1093215,1407238,3991852,1093991,1407860,3993612,1094477,1409648,3998668,1095865,1410072,3999864,1096195,1410588,4001326,1096599,1411826,4004826,1097559,1411826,4004826,1097559
1504848,4267623,1254029,1504848,4267623,1254029,1509772,4281593,1258133,1511166,4285571,1259305,1513312,4291669,1261095,1514312,4294503,1261933,1514914,4296203,1262433,1516650,4301111,1263877,1517062,4302275,1264217,1517558,4303693,1264631,1518732,4307015,1265609,1518732,4307015,1265609
1752994,4993747,1470375,1752994,4993747,1470375,1759484,5012303,1475849,1760848,5016177,1476989,1763668,5024247,1479369,1764684,5027119,1480213,1765268,5028771,1480703,1766952,5033535,1482103,1767350,5034659,1482435,1767832,5036027,1482839,1768948,5039173,1483767,1768948,5039173,1483767
2540659,6819497,2131118,2540659,6819497,2131118,2551699,6849101,2140338,2553109,6852877,2141522,2557907,6865733,2145528,2558993,6868649,2146444,2559593,6870251,2146948,2561321,6874879,2148398,2561727,6875971,2148744,2562219,6877299,2149162,2563339,6880291,2150100,2563339,6880291,2150100
1159798,3088256,947251,1159798,3088256,947251,1161580,3092910,948577,1162952,3096588,949733,1163730,3098614,950309,1164846,3101604,951249,1165428,3103162,951737,1167108,3107664,953151,1167506,3108726,953487,1167986,3110012,953889,1169044,3112842,954777,1169044,3112842,954777
837260,2095235,711056,837260,2095235,711056,837260,2095235,711056,838672,2098755,712266,838672,2098755,712266,839896,2101793,713304,840494,2103281,713812,842210,2107581,715272,842612,2108591,715614,843102,2109815,716026,844158,2112463,716922,844158,2112463,716922
740040,1988656,661668,740040,1988656,661668,740040,1988656,661668,741344,1992166,662836,741344,1992166,662836,742556,1995424,663926,743106,1996906,664420,744698,2001168,665844,745072,2002172,666176,745524,2003384,666578,746480,2005948,667430,746480,2005948,667430
736317,1876664,662488,736317,1876664,662488,736317,1876664,662488,737663,1880090,663692,737663,1880090,663692,739035,1883598,664928,739595,1885040,665438,741221,1889190,666908,741603,1890164,667258,742063,1891332,667668,743019,1893772,668526,743019,1893772,668526
734881,1784747,664743,734881,1784747,664743,734881,1784747,664743,736263,1788095,665991,736263,1788095,665991,737867,1792001,667449,738447,1793411,667975,740107,1797455,669483,740495,1798405,669837,740965,1799533,670259,741933,1801855,671121,741933,1801855,671121
701444,1704083,668078,701444,1704083,668078,701444,1704083,668078,702788,1707351,669362,702788,1707351,669362,704702,1711993,671190,705270,1713371,671728,706886,1717319,673276,707266,1718239,673638,707714,1719337,674070,708612,1721545,674940,708612,1721545,674940
671477,1631370,638803,671477,1631370,638803,671477,1631370,638803,672791,1634560,640053,672791,1634560,640053,675715,1641652,642887,676269,1643000,643417,677849,1646838,644917,678217,1647734,645265,678657,1648798,645679,679523,1650896,646497,679523,1650896,646497
612960,1422315,584052,612960,1422315,584052,612960,1422315,584052,614302,1425437,585336,614302,1425437,585336,617516,1432941,588388,618086,1434261,588928,619702,1438009,590472,620078,1438879,590830,620526,1439911,591258,621386,1441911,592082,621386,1441911,592082
538322,1248988,538811,538322,1248988,538811,538322,1248988,538811,539634,1252032,540125,539634,1252032,540125,539634,1252032,540125,540190,1253320,540683,541764,1256974,542261,542130,1257822,542627,542560,1258824,543059,543380,1260714,543879,543380,1260714,543879
521304,1208018,544389,521304,1208018,544389,521304,1208018,544389,522590,1210994,545731,522590,1210994,545731,522590,1210994,545731,523138,1212264,546303,524680,1215828,547913,525036,1216650,548281,525456,1217624,548719,526234,1219436,549533,526234,1219436,549533
527804,1169507,527113,527804,1169507,527113,527804,1169507,527113,529118,1172417,528423,529118,1172417,528423,529118,1172417,528423,529690,1173659,528981,531242,1177135,530563,531602,1177931,530921,532028,1178869,531345,532808,1180591,532117,532808,1180591,532117
533648,1133871,555897,533648,1133871,555897,533648,1133871,555897,534988,1136709,557285,534988,1136709,557285,534988,1136709,557285,535562,1137931,557887,537158,1141323,559545,537522,1142103,559927,537954,1143015,560369,538726,1144655,561171,538726,1144655,561171
517392,1099111,539583,517392,1099111,539583,517392,1099111,539583,518702,1101889,540971,518702,1101889,540971,518702,1101889,540971,519274,1103093,541563,520834,1106411,543199,521190,1107167,543569,521602,1108051,544001,522336,1109615,544769,522336,1109615,544769
502579,1069081,544990,502579,1069081,544990,502579,1069081,544990,503853,1071815,546380,503853,1071815,546380,503853,1071815,546380,504409,1073001,546986,505941,1076239,548640,506289,1076979,549020,506689,1077839,549462,507389,1079333,550214,507389,1079333,550214
509454,1016847,570055,509454,1016847,570055,509454,1016847,570055,510754,1019457,571521,510754,1019457,571521,510754,1019457,571521,511330,1020609,572163,512878,1023713,573903,513232,1024417,574301,513642,1025235,574759,514342,1026623,575537,514342,1026623,575537
494305,1007852,553316,494305,1007852,553316,494305,1007852,553316,495581,1010454,554746,495581,1010454,554746,495581,1010454,554746,496149,1011612,555382,497663,1014712,557080,498007,1015408,557462,498403,1016216,557906,499063,1017572,558650,499063,1017572,558650
500627,983835,578501,500627,983835,578501,500627,983835,578501,501925,986385,580005,501925,986385,580005,501925,986385,580005,502507,987527,580679,504051,990555,582455,504395,991239,582857,504793,992023,583319,505451,993319,584081,505451,993319,584081
